ime,vrsta,koliko_sobno,leto_izgradnje,zemljisce,velikost,cena,agencija
NOVA GORICA,Poslovni prostor,,,,,"750,00","DUTB, d.d."
NOVA GORICA,Poslovni prostor,,,,,"2.700.000,00","DUTB, d.d."
NOVO MESTO,Stanovanje,,,,,"173.700,00",Casa 69 d.o.o.
NOVO MESTO,Poslovni prostor,,,,,"1.120.000,00",ABC nepremičnine d.o.o.
OREHOVSKI VRH,Hiša,,,,,"145.000,00",EVANA posredovanje d.o.o.
ORLE,Posest,,,,,"140.000,00",Premium nepremičnine d.o.o.
"PIRAN, PRVOMAJSKI TRG",Stanovanje,,,,,"82.000,00","RE/MAX Obala, Nepremičninska družba, d.o.o."
PEKRE,Počitniški objekt,,,,,"1.490.000,00","DUTB, d.d."
"PIRAN, BLIŽINA MESTA IN PLAŽE",Hiša,,,,,"299.000,00","Svitan d.o.o., PE nepremičnine"
"PIRAN, TRG 1. MAJA",Stanovanje,,,,,"240.000,00",Obala nepremičnine d.o.o.
PIVOLA,Hiša,,,,,"159.618,10",Atrium nepremičnine d.o.o.
"PLANINA NA POHORJU, ROGLA",Hiša,,,,,"119.000,00",Premium nepremičnine d.o.o.
PODČETRTEK,Hiša,,,,,"170.000,00",Zasebna ponudba
POLJČANE,Stanovanje,,,,,"22.900,00","Agenti nepremičninsko posredovanje, d.o.o."
"POLJE PRI VODICAH, MODERNO ZASNOVANA",Hiša,,,,,"480.000,00","STAN nepremičnine d.o.o., Ljubljana"
"PORTOROŽ, PENTHOUSE Z BAZENOM V PORTOROŽU",Stanovanje,,,,,"539.000,00",ABC nepremičnine d.o.o.
"PORTOROŽ, VILA - NOVOGRADNJA",Hiša,,,,,"1.290.000,00",Vila Portorož d.o.o.
"POSTOJNA, KOČE",Posest,,,,,"22.000,00",Nepremičnine Land d.o.o.
"PREVOJE PRI ŠENTVIDU, LUKOVICA - DOMŽALE",Stanovanje,,,,,"93.000,00",Premium nepremičnine d.o.o.
"PUŠČE, VELIKE LAŠČE",Hiša,,,,,"155.000,00",Premium nepremičnine d.o.o.
"RADIZEL, KOLMANOVA ULICA",Hiša,,,,,"189.900,00","INSA d.o.o., Europark Maribor"
"RAKOVNIK, NOVO NASELJE",Hiša,,,,,"312.613,74","Iskra, d.o.o."
"RAKOVNIK, NOVO NASELJE",Hiša,,,,,"321.271,04","Iskra, d.o.o."
"RAKOVNIK, OB DOLENJSKI CESTI",Stanovanje,,,,,"229.910,58",Magda - Bohinj d.o.o.
"RAKOVNIK, OB DOLENJSKI CESTI",Stanovanje,,,,,"217.819,59",Magda - Bohinj d.o.o.
RATEČE,Hiša,,,,,"440.000,00","DUTB, d.d."
"RAVNE NA KOROŠKEM, DOBJA VAS, OBRTNA CONA",Posest,,,,,"60,00",SIMOBILIA nepremičnine d.o.o.
"RAVNIK, MIRNA, ŠENTRUPERT",Vikend,,,,,"56.000,00","Oridom nepremičnine, Ivan Orešnik s.p."
"RETEČE, DRUŽINSKO NASELJE",Hiša,,,,,"350.000,00",Zasebna ponudba
"RIBNO, 2, 5 KM OD BLEJSKEGA JEZERA",Stanovanje,,,,,"198.500,00",Makler Bled d.o.o.
"RUDNIK, TRNOVSKO PREDMESTJE",Hiša,,,,,"450.000,00",Aion d.o.o.
