ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija
"BIZOVIK, OB LITISIJSKI, 2 PARKIRNI MESTI",Prodaja,Stanovanje,triinpolsobno,2008,,79.9,210000.0,
BRDO,Prodaja,Stanovanje,štiriinpolsobno,2014,,114.1,348000.0,
BRESTANICA,Prodaja,Hiša,Samostojna,1990,,243.6,176000.0,
BREŽICE,Prodaja,Poslovni prostor,Kombiniran prostor,1971,,14554.0,1500000.0,
CELJE,Prodaja,Hiša,Dvojček,2019,,115.0,175000.0,
"CELJE, OSTROŽNO",Prodaja,Hiša,Samostojna,2008,,276.0,195000.0,
ČEPOVAN,Prodaja,Hiša,Samostojna,1920,,185.0,22900.0,
"ČRNA VAS, 5 MIN OD OBVOZNICE - DVOSTANOVANJSKA HIŠA Z VRTOM",Prodaja,Hiša,Samostojna,2005,,210.0,295000.0,
ČRNUČE,Prodaja,Stanovanje,dvoinpolsobno,2019,,101.98,217031.0,
"ČRNUČE, BRNČIČEVA ULICA 31",Prodaja,Poslovni prostor,Pisarna,2009,,822.9,790000.0,
DOLENJA TREBUŠA,Prodaja,Hiša,Samostojna,1600,,243.0,96000.0,
"DOMŽALE, BISTRA, BLIZU VRTCA IN ŠOLE",Prodaja,Stanovanje,štiriinpolsobno,2007,,112.1,328000.0,
DRAGOČAJNA,Prodaja,Hiša,Dvojček,2019,,157.0,155000.0,
"DRAVLJE, REGENTOVA C/PLEŠIČEVA U",Prodaja,Stanovanje,štirisobno,2019,,96.29,376106.0,
FUŽINE,Prodaja,Stanovanje,dvoinpolsobno,1980,,73.7,184000.0,
GORNJA RADGONA,Prodaja,Stanovanje,štirisobno,1981,,88.1,107000.0,
GRADIŠČE,Prodaja,Hiša,Dvojček,2007,,169.0,225000.0,
"GRADIŠČE NAD PIJAVO GORICO, ŠKOFLJICA",Prodaja,Hiša,Samostojna,2005,,340.0,419000.0,
"GROSUPLJE, BRINJE",Prodaja,Hiša,Samostojna,1999,,190.5,280000.0,
HOČKO POHORJE,Prodaja,Počitniški objekt,Drugo,2006,,3480.0,1000000.0,
HOČKO POHORJE,Prodaja,Počitniški objekt,Drugo,2006,,5793.0,1200000.0,
"HRAŠE, SMLEDNIK, MONTAŽNA MARLES",Prodaja,Hiša,Samostojna,2019,,145.0,375000.0,
HRUŠEVO,Prodaja,Hiša,Samostojna,1984,,220.0,317000.0,
"HUDINJA, ROGLA",Prodaja,Počitniški objekt,Hiša,2004,,107.3,128000.0,
"HUDINJA, ROGLA",Prodaja,Počitniški objekt,Hiša,2007,,115.0,148000.0,
HUM,Prodaja,Hiša,Samostojna,1995,,210.0,190000.0,
IZLAKE,Prodaja,Stanovanje,štirisobno,1979,,108.2,135000.0,
"IZLAKE, CENTER",Prodaja,Stanovanje,dvosobno,1979,,62.7,79000.0,
IZOLA,Prodaja,Stanovanje,triinpolsobno,2016,,77.5,268000.0,
IZOLA,Prodaja,Poslovni prostor,Kombiniran prostor,1960,,8669.0,9000000.0,
"IZOLA, CENTER, LE 200 M OD MORJA",Prodaja,Stanovanje,dvosobno,1900,,49.75,148000.0,
KOMENDA,Prodaja,Hiša,Samostojna,1980,,274.3,295000.0,
KOPER,Prodaja,Hiša,Samostojna,2017,,300.0,275000.0,
"KOPER, DOLINSKA CESTA",Prodaja,Stanovanje,enosobno,2005,,46.8,132000.0,
"KOPER, NOKTURNO",Prodaja,Stanovanje,trisobno,2010,,108.2,305000.0,
"KOPER, SEMEDELA",Prodaja,Hiša,Vrstna,1970,,104.6,259000.0,
"KOPER, SEMEDELA, BREZ PROVIZIJE",Prodaja,Hiša,Samostojna,2007,,289.5,450000.0,
"KRANJ, ŠENČUR",Prodaja,Hiša,Dvostanovanjska,2019,,142.5,327000.0,
KRANJSKA GORA,Prodaja,Počitniški objekt,Drugo,1902,,1750.0,1690000.0,
KROMBERK,Prodaja,Poslovni prostor,Kombiniran prostor,1965,,6304.0,1600000.0,
LAVRICA,Prodaja,Hiša,Samostojna,2011,,135.2,295000.0,
"LAZE V TUHINJU, APARTMA TERMAH SNOVIK",Prodaja,Počitniški objekt,Apartma,2007,,46.2,2460.0,
LJ. BEŽIGRAD,Prodaja,Stanovanje,trisobno,1986,,75.8,215000.0,
LJ. BEŽIGRAD,Prodaja,Poslovni prostor,Prostor za storitve,1986,,357.7,643860.0,
"LJ. BEŽIGRAD, BLIZU CENTRA",Prodaja,Stanovanje,štirisobno,1998,,150.0,490000.0,
"LJ. BEŽIGRAD, DVIGALO, BALKON",Prodaja,Stanovanje,dvosobno,1986,,49.2,158000.0,
"LJ. BEŽIGRAD, DVIGALO, ODLIČNA LOKACIJA",Prodaja,Stanovanje,dvosobno,1986,,52.4,158000.0,
"LJ. BEŽIGRAD, SAVSKO NASELJE",Prodaja,Stanovanje,trisobno,1957,,71.7,185000.0,
"LJ. BEŽIGRAD, SAVSKO NASELJE",Prodaja,Stanovanje,triinpolsobno,1957,,80.8,185000.0,
"LJ. BEŽIGRAD, SMOLETOVA ULICA",Prodaja,Stanovanje,štirisobno,1967,,83.8,224000.0,
LJ. CENTER,Prodaja,Stanovanje,enosobno,1981,,41.18,148000.0,
LJ. CENTER,Prodaja,Stanovanje,dvosobno,2020,,57.7,229376.0,
LJ. CENTER,Prodaja,Stanovanje,dvosobno,2020,,59.05,259915.0,
LJ. CENTER,Prodaja,Stanovanje,trisobno,2019,,61.8,329914.41,
LJ. CENTER,Prodaja,Stanovanje,dvosobno,1929,,81.4,240000.0,
LJ. CENTER,Prodaja,Stanovanje,trisobno,1962,,85.8,284000.0,
LJ. CENTER,Prodaja,Stanovanje,trisobno,2020,,89.36,362985.0,
LJ. CENTER,Prodaja,Stanovanje,trisobno,2020,,91.21,394999.0,
LJ. CENTER,Prodaja,Stanovanje,triinpolsobno,1933,,117.0,435000.0,
LJ. CENTER,Prodaja,Posest,Zazidljiva,1970,,3437.0,4500000.0,
"LJ. CENTER, KONGRESNI TRG 14",Prodaja,Stanovanje,trisobno,1897,,91.0,360000.0,
"LJ. CENTER, TABOR - VRHOVČEVA",Prodaja,Stanovanje,triinpolsobno,1950,,98.49,270000.0,
"LJ. CENTER, TOP LOKACIJA V CENTRU - RIMSKA CESTA",Prodaja,Stanovanje,štiriinpolsobno,1897,,105.0,360000.0,
LJ. MOSTE,Prodaja,Hiša,Vrstna,2005,,140.0,320000.0,
"LJ. MOSTE, BLIŽINA CENTRA IN UKC",Prodaja,Stanovanje,dvosobno,1870,,44.6,120000.0,
"LJ. MOSTE, DVOJČEK, ODLIČNA LOKACIJA",Prodaja,Hiša,Dvojček,2019,,166.0,1790.0,
"LJ. MOSTE, VEVČE",Prodaja,Hiša,Dvojček,2019,,150.0,249000.0,
"LJ. MOSTE, ZADOBROVA",Prodaja,Hiša,Dvojček,2019,,158.0,310000.0,
LJ. ŠIŠKA,Prodaja,Stanovanje,dvosobno,1935,,45.0,115900.0,
LJ. ŠIŠKA,Prodaja,Stanovanje,trisobno,1939,,81.0,267000.0,
LJ. ŠIŠKA,Prodaja,Stanovanje,štirisobno,2009,,131.39,270000.0,
LJ. ŠIŠKA,Prodaja,Stanovanje,petsobno,2018,,406.42,990000.0,
"LJ. ŠIŠKA, 1A BIVANJE V BLIŽINI TIVOLIJA",Prodaja,Stanovanje,dvoinpolsobno,2002,,51.9,156000.0,
"LJ. ŠIŠKA, BLIZU CENTRA, ODLIČNA LOKACIJA",Prodaja,Stanovanje,dvosobno,1965,,58.3,147000.0,
LJ. VIČ,Prodaja,Stanovanje,enosobno,1968,,34.0,89000.0,
LJ. VIČ,Prodaja,Stanovanje,dvoinpolsobno,2009,,75.0,208000.0,
"LJ. VIČ, DOLGI MOST",Prodaja,Stanovanje,dvosobno,2004,,49.0,155000.0,
"LJ. VIČ, JZ OBROBJE",Prodaja,Hiša,Dvojček,2004,,200.0,380000.0,
"LJ. VIČ, KOLEZIJA",Prodaja,Stanovanje,dvosobno,1931,,48.0,150000.0,
"LJ. VIČ, PRI DOLGEM MOSTU",Prodaja,Stanovanje,enosobno,2004,,43.9,119000.0,
"LJ. VIČ, VELIKA PARCELA, MODERNO",Prodaja,Hiša,Samostojna,2005,,243.8,820000.0,
LOKEV,Prodaja,Hiša,Dvojček,2019,,173.0,165000.0,
LUCIJA,Prodaja,Hiša,Vrstna,1974,,305.0,398000.0,
"LUCIJA, BLIŽINA MERCATOR DISKONTA",Prodaja,Stanovanje,dvosobno,1987,,69.2,187000.0,
"LUCIJA, CENTER - NASPROTI TPC",Prodaja,Stanovanje,enosobno,1998,,51.0,168000.0,
