ime,posred,vrsta,koliko_sobno,leto_izgradnje,zemljisce,velikost,cena,agencija
"BIZOVIK, OB LITISIJSKI, 2 PARKIRNI MESTI",Prodaja,Stanovanje,,,,"79,90","210.000,00","YES NEPREMIČNINE, nepremičninska agencija, d.o.o."
"BLED, KORITNO",Prodaja,Posest,,,,"595,00","120,00","Zavarovalnica Triglav, d.d."
BRDO,Prodaja,Stanovanje,,,,"114,10","348.000,00",MESTO NEPREMIČNIN d.o.o.
BREG OB SAVI,Prodaja,Posest,,,,"550,00","190,00","Abax d.o.o., PE Abax Ljubljana"
BRESTANICA,Prodaja,Hiša,,,,"243,60","176.000,00","NOVDOM Nepremičnine, Aleš Novak s.p."
BREŽICE,Prodaja,Poslovni prostor,,,,"14.554,00","1.500.000,00","DUTB, d.d."
BRITOF,Prodaja,Posest,,,,"22.137,00","1.950.000,00","DUTB, d.d."
"LJ. BEŽIGRAD, TOPNIŠKA",Oddaja,Stanovanje,,,,"31,00","350,00",Zasebna ponudba
CELJE,Prodaja,Hiša,,,,"115,00","175.000,00","Agenti Celje, AŽ&MB Nerad d.o.o."
"CELJE, OSTROŽNO",Prodaja,Hiša,,,,"276,00","195.000,00",KAPITOL posredovanje d.o.o.
ČEPOVAN,Prodaja,Hiša,,,,"185,00","22.900,00",Vilmar nepremičnine d.o.o.
"ČRNA VAS, 5 MIN OD OBVOZNICE - DVOSTANOVANJSKA HIŠA Z VRTOM",Prodaja,Hiša,,,,"210,00","295.000,00",ABC nepremičnine d.o.o.
ČRNI POTOK PRI VELIKIH LAŠČAH,Prodaja,Posest,,,,"16.181,50","19.555,52",Zasebna ponudba
ČRNUČE,Prodaja,Stanovanje,,,,"101,98","217.031,00","GB nepremičnine, Goran Barišić s.p."
"ČRNUČE, BRNČIČEVA ULICA 31",Prodaja,Poslovni prostor,,,,"822,90","790.000,00",Salomon d.o.o. Ljubljana
DOLENJA TREBUŠA,Prodaja,Hiša,,,,"243,00","96.000,00",Renes d.o.o.
"DOMŽALE, BISTRA, BLIZU VRTCA IN ŠOLE",Prodaja,Stanovanje,,,,"112,10","328.000,00",Zasebna ponudba
DRAGOČAJNA,Prodaja,Hiša,,,,"157,00","155.000,00",Harmonija nepremičnine Ksenja Kokalj s.p.
"DRAVLJE, REGENTOVA C/PLEŠIČEVA U",Prodaja,Stanovanje,,,,"96,29","376.106,00",Modra Vila d.o.o.
FUŽINE,Prodaja,Stanovanje,,,,"73,70","184.000,00",MESTO NEPREMIČNIN d.o.o.
"GABROVČEC, IVANČNA GORICA",Prodaja,Posest,,,,"12.790,00","25,00",Premium nepremičnine d.o.o.
GORNJA RADGONA,Prodaja,Stanovanje,,,,"88,10","107.000,00 &euro;<span class=""cena-old"">115.000,00","RE/MAX Pomurje, PRO-BEL, d.o.o."
GRADIŠČE,Prodaja,Hiša,,,,"169,00","225.000,00",MESTO NEPREMIČNIN d.o.o.
GRADIŠČE NAD PIJAVO GORICO,Prodaja,Posest,,,,"916,00","69,00",Svet Real d.o.o.
"GRADIŠČE NAD PIJAVO GORICO, ŠKOFLJICA",Prodaja,Hiša,,,,"340,00","419.000,00",Zasebna ponudba
"GROSUPLJE, BRINJE",Prodaja,Hiša,,,,"190,50","280.000,00","Ažur Trading, d.o.o."
HOČKO POHORJE,Prodaja,Počitniški objekt,,,,"3.480,00","1.000.000,00","DUTB, d.d."
HOČKO POHORJE,Prodaja,Počitniški objekt,,,,"5.793,00","1.200.000,00","DUTB, d.d."
